Rank,Name,Total_Net_Worth,LastChange,YTDChange,Country,Industry
1,Elon Musk ,311.0,9.32,141.0,UnitedStates,Technology
2,Jeff Bezos ,195.0,-3.79,5.06,UnitedStates,Technology
3,Bernard Arnault ,167.0,-0.544,52.7,France,Consumer
4,Bill Gates ,136.0,0.906,4.4,UnitedStates,Technology
5,Larry Page ,131.0,1.71,48.7,UnitedStates,Technology
6,Sergey Brin ,126.0,1.64,46.7,UnitedStates,Technology
7,Mark Zuckerberg ,121.0,2.4,17.3,UnitedStates,Technology
8,Steve Ballmer ,118.0,2.42,37.6,UnitedStates,Technology
9,Larry Ellison ,115.0,0.331,35.4,UnitedStates,Technology
10,Warren Buffett ,105.0,-0.8,17.0,UnitedStates,Diversified
11,Mukesh Ambani ,95.8,-2.56,19.1,India,Energy
12,Francoise Bettencourt Meyers,90.4,-0.597,14.6,France,Consumer
13,Gautam Adani ,77.1,2.52,43.3,India,Industrial
14,Amancio Ortega ,77.0,-0.532,10.5,Spain,Retail
15,Jim Walton ,66.5,0.315,4.02,UnitedStates,Retail
16,Rob Walton ,66.0,0.291,3.41,UnitedStates,Retail
17,Zhong Shanshan ,65.2,-0.685,-13.0,China,Diversified
18,Alice Walton ,64.6,0.325,2.26,UnitedStates,Retail
19,Carlos Slim ,63.4,-0.28,7.13,Mexico,Diversified
20,Phil Knight&family ,62.6,0.927,8.75,UnitedStates,Consumer
21,Charles Koch ,60.2,-0.643,3.32,UnitedStates,Industrial
22,Julia Flesher Koch&family,60.2,-0.643,3.32,UnitedStates,Industrial
23,Zeng Yuqun ,57.3,2.74,26.3,HongKong,Industrial
24,MacKenzie Scott ,56.9,-1.29,-1.59,UnitedStates,Technology
25,Michael Dell ,55.9,-0.101,15.8,UnitedStates,Technology
26,Francois Pinault ,50.2,-0.678,2.44,France,Consumer
27,Ma Huateng ,49.2,-0.671,-7.28,China,Technology
28,Jacqueline Badger Mars,47.8,-1.01,6.04,UnitedStates,Food&Beverage
29,John Mars ,47.8,-1.01,6.04,UnitedStates,Food&Beverage
30,Len Blavatnik ,45.1,-0.221,6.95,UnitedStates,Diversified
31,Zhang Yiming ,44.5,0.0,19.5,China,Technology
32,Jack Ma ,43.2,-0.478,-7.39,China,Technology
33,Stephen Schwarzman ,39.8,-0.221,18.3,UnitedStates,Finance
34,Azim Premji ,37.4,-0.616,12.0,India,Technology
35,Klaus-Michael Kuehne ,36.0,-0.367,11.8,Germany,Industrial
36,Giovanni Ferrero&family ,34.2,-0.866,0.112,Italy,Food&Beverage
37,Tadashi Yanai ,34.1,0.333,-11.1,Japan,Retail
38,Takemitsu Takizaki ,33.8,1.38,1.41,Japan,Technology
39,Leonard Lauder ,33.5,-0.102,5.66,UnitedStates,Consumer
40,Leonid Mikhelson ,33.3,-0.249,8.58,RussianFederation,Energy
41,Leonardo Del Vecchio,32.5,0.595,7.77,Italy,Consumer
42,Vladimir Potanin ,31.8,-0.292,1.76,RussianFederation,Commodities
43,Pallonji Mistry ,31.8,-0.213,7.23,Ireland,Industrial
44,William Ding ,31.4,-0.718,0.894,China,Technology
45,Colin Huang ,31.3,-1.24,-31.3,China,Technology
46,Li Ka-shing ,31.3,0.85,0.226,HongKong,Real Estate
47,Li Shu Fu,31.0,1.47,8.83,China,Industrial
48,Alain Wertheimer ,30.6,0.169,-8.85,France,Consumer
49,Gerard Wertheimer ,30.6,0.169,-8.85,France,Consumer
50,He Xiangjian ,29.7,0.186,-7.12,China,Consumer
51,Dieter Schwarz ,29.5,-0.322,3.19,Germany,Retail
52,Dan Gilbert ,29.4,0.991,-3.85,UnitedStates,Real Estate
53,Alexey Mordashov ,28.8,-0.31,5.76,RussianFederation,Industrial
54,Vladimir Lisin ,28.6,-0.292,4.7,RussianFederation,Industrial
55,Shiv Nadar ,28.4,-0.258,4.24,India,Technology
56,Eric Schmidt ,28.1,0.348,8.71,UnitedStates,Technology
57,Dustin Moskovitz ,28.0,0.497,11.3,UnitedStates,Technology
58,Scott Farquhar ,27.7,2.44,13.3,Australia,Technology
59,Mike Cannon-Brookes ,27.7,2.44,13.3,Australia,Technology
60,Wei Jianjun ,27.6,0.749,14.8,China,Consumer
61,Abigail Johnson ,27.4,-0.313,3.41,UnitedStates,Finance
62,Miriam Adelson ,26.9,-0.402,26.9,UnitedStates,Entertainment
63,Yang Huiyan ,26.3,-0.541,-3.74,China,Real Estate
64,James Simons ,26.0,0.0,3.23,UnitedStates,Finance
65,Wang Chuan-Fu ,25.9,0.214,9.8,China,Consumer
66,James Dyson ,25.1,-0.677,1.23,UnitedKingdom,Consumer
67,Henry Cheng ,24.9,0.264,4.52,HongKong,Retail
68,Pang Kang ,24.7,0.763,-7.14,China,Food&Beverage
69,Vagit Alekperov ,24.5,-0.237,7.25,RussianFederation,Energy
70,Huang Shilin ,24.4,1.16,11.1,China,Industrial
71,Radhakishan Damani ,24.3,-0.255,9.33,India,Retail
72,Jensen Huang ,23.6,0.557,11.3,UnitedStates,Technology
73,Gennady Timchenko ,23.3,-0.317,6.67,RussianFederation,Diversified
74,Lukas Walton ,23.1,0.118,0.556,UnitedStates,Retail
75,Susanne Klatten ,23.0,-0.304,0.958,Germany,Industrial
76,Lee Shau Kee,22.9,0.139,1.78,HongKong,Real Estate
77,Masayoshi Son ,22.9,0.132,-4.95,Japan,Technology
78,Carl Icahn ,22.8,-0.369,2.57,UnitedStates,Diversified
79,Thomas Peterffy ,22.5,0.748,2.96,UnitedStates,Finance
80,Thomas Frist ,22.5,-0.147,6.71,UnitedStates,Health Care
81,John Menard ,22.5,0.114,4.06,UnitedStates,Retail
82,Qin Yinglin ,22.4,0.702,-0.352,China,Food&Beverage
83,Ken Griffin ,22.0,0.505,0.804,UnitedStates,Finance
84,Lakshmi Mittal ,21.8,-0.658,5.36,India,Commodities
85,Alisher Usmanov ,21.8,0.35,0.644,RussianFederation,Diversified
86,Thomas Struengmann ,21.6,-0.335,11.5,Germany,Health Care
